nwlrbbmqb the information published in this undergraduate calendar outlines the 
gdhiixqmb university is required to provide includes but is not 
fjxjcvudj limited to first and last name ontario educational number 
suyibyebm citizenship date of birth gender digits of a student 
wsiqyoygy s postal code mother tongue degree program and major 
xymzevypz s which the student is enrolled year of study 
vjegebeoc and whether the student has from anotherinstitution further information 
fuftsxdix on the collection and use of enrolment related data 
tigsieehk can be obtained from the ministry of training colleges 
chzdflilr french or by writing to the director postsecondary finance 
jqfnxztqr and information toronto on m a l an update 
svbspkyhs on institutional and mtcu notice of disclosure frequently asked 
enbppkqtp questions related to the ministry s enrolment and oen 
ddbuotbbq data are also posted at http www tcu gov 
cwivrfxju on ca pepg publications faqs html to disclose personal 
jjddntgei information to statistics canada the ministry of colleges and 
qvdgaijvw universities discloses student level enrolment related data it from 
cyaubwewp the colleges and universities as required by statistics canada 
jvygehljx with section of the federal statistics act this gives 
epbpiwuqz mtcu authority to personal information in accordance with s 
dzubdubzv e of fippa notification of of personal information to 
afspqpqwu statistics canada for further information please the statistics canada 
zifwovydd s web site at http www statcan ca and 
wyvvburcz section xiv canada address for university communication depending on 
mgyjgfdxv the nature and of the communication the university may 
tnunnesls use one of these addresses to with students students 
plwuiupfx are therefore responsible forchecking all of the on a 
lzbknhkwp regular basis email address the university issued email address 
panltcfir is an official means of communication with the student 
jcddsozoy and will be used for from the university students 
vegurfwcs areresponsible for monitoring their email account regularly see section 
fmoxeqmrj i statement of students academic for more information home 
owrghwlko address students are responsible for maintaining a mailing address 
bmeahkgcc with the university address changes can be made in 
naehhsvey writing enrolment services name changes the university of guelph 
mqpxhlrnu is committed to the of its student records therefore 
nyfdzrhba each student is required to provide either application for 
sjeuygafo admission or on personal dataforms required for registration complete 
ubutpnimu legal name any requests to change a name by 
wfjqsjxvk means of alteration substitution or addition must be accompanied 
qdorxxvrw byappropriate supporting student confidentiality and release of student information 
ctdsneogv policy excerpt the undertakes to protect the privacy of 
bpkxlpgdi each student and the confidentiality of or her record 
rbfcriqif to this end the university shall refuse to disclose 
pgynkrref personal any person other than the individual to whom 
xsnvucftp the information relates where would constitute an unjustified invasion 
wctgtwmxn of the personal privacy of that or of anyother 
upycfgcuq individual all members of the university community must the 
unublmoii confidential nature of the student information which they acquire 
tncklefsz in the five university wide learning outcomes as the 
bexrampet basis from which to guide the of undergraduate degreeprograms 
vhqnddjeq specializations and courses these outcomes are also intended to 
vuygpnkaz serve as a framework through which our expectations are 
qfrpjvoax clear to students and the broader public and to 
dpcwmjobm inform the outcomes assessment through the quality assurance process 
skskfojne regular reviews of and departments an on line guide 
wxgxnnofw to the learning outcomes links to the skills and 
ltwjwnnvb detailed rubrics designed to support the development and of 
wjckdmeou additional program anddiscipline specific outcomes are available for on 
uzhyvhgvw the learning outcomes website critical and creative thinking critical 
ujbqxxpit creative thinking is a concept in which one applies 
cvograidd logical principles after inquiry and analysis to solve problems 
vhrrdsycq in with a high degree of innovation and risk 
hkleewhxt taking those mastering this outcome show evidence of integrating 
embaqwqwp and applying this knowledge across disciplinary boundaries depth and 
qhsuebnvf breadth of disciplines is essential to this outcome in 
gvjwdvjja addition critical and thinking includes but is not limited 
fqzzxlcxd to the following outcomes inquiry and problem solving creativity 
zncqgjlap and depth and breadthof understanding literacy is the ability 
opkvxfgvi to extract information from a variety of resources the 
cetcmkblj quality and validity of the material and use it 
opgtqvvhb to discover new the comfort in usingquantitative literacy also 
gsdvivhes exists in this definition as using technology effectively and 
nkqxmwrqi developing visual literacy in addition includes but is not 
drvmhlubb limited to the following outcomes information literacy global understanding 
ryktheyen encompasses the knowledge of cultural similarities and the context 
tmrobdeyq historical geographical political and environmental from which arise and 
crgluaiih how they are manifest in modern society global understanding 
veixwjjrq is as civic engagement intercultural competence and the ability 
opubjguxh to understand an disciplineoutside of the domestic context in 
xdipfzwsw addition global understanding but is not limited to the 
ybgfylqvj following outcomes global understanding sense of development civic knowledge 
zharvrlya and engagement and intercultural competence communicating is the ability 
uuzdrcnjk to interact effectively with a variety of and groups 
phclffrke and convey information successfully in a variety of formats 
ecbpdipuf oral and written communication communicating also comprises attentiveness and 
hidjcxjhr as well as reading comprehension it includes the ability 
nxcxmjcxo to communicate and information arguments and analyses accurately and 
hqanxdrmg reliably in addition includes but is not limited to 
zebhnlmwp the following outcomes oral communication communication reading comprehension and 
mhwdvthsf integrative communication and ethical behaviour professional and ethical behaviour 
queeexgru requires the ability accomplish the tasks at hand with 
jigskmvrz proficient skills in teamwork and while remembering ethical reasoning 
gfwvrftwa behindall decisions the ability for and time management skills 
pdtutpbzt is essential in bringing together all aspects of self 
ygnsrxajj and others academic integrity is central tomastery in this 
ngcomikjz outcome in professional and ethical behaviour includes but is 
sdwssznov not limited to the time management table of contents 
druypcnju i statement of students academic ii the university history 
lkfuzmxna academic organization university of guelph humber statement university governance 
famespckj iii schedule of dates summer semester admission requirements to 
cazxdrtdg university programs in semester one admission standing admission advanced 
yrqscczyb standing entry points application procedures from ontario currently enrolled 
nvqqcqcji in secondary school applicants from ontario currently enrolled in 
tlvcnvbma secondary school all other external students applying outside canada 
sidzgwraa applying from another campus of the university of guelph 
tzzwpwmfb for internal transfer or readmission amendments to the application 
fjkncvkel form agreements alfred campus algonquin college associate diploma programs 
hhzjchpdn of guelph centennial college conestoga college institute of technology 
lunmppnlg and learning fanshawe college georgian college institute of university 
jznkewwuy and advancedstudies humber college institute of technology and advanced 
sgefonexp kemptville campus niagara college nipissing university northern alberta of 
mmsbaopmd technology province of british columbia ridgetown campus seneca college 
gzqmkqzxu normal university snu six nations polytechnic associate diploma programs 
vtqvnxbsl of admission decisions co operative education deadline dates advanced 
qzkglzamz and non degree programs english proficiency test of english 
pdnsjolvy as a foreign english language assessment battery melab canadian 
bwxxttqog assessment of english cael pearson test of english pte 
nrbaiakql advanced level english language program university ofguelph open learning 
lszkhfzco post degree and letter of second degrees honours equivalent 
nnmoqklpe prior learning assessment pla readmission of selection specific subject 
efsnsmouw requirements and recommendations university of programs university of guelph 
qhodsgcfo humber programs submission of documents use of in teaching 
hesyshmgx v international study study abroad programs exchange programs letter 
wtoayuvno of permission l o p semesters abroad vi schedule 
jdjftqtwk of fees changes in schedule university fees tuition fees 
bapriujim meal plan fees parking fees prior assessment refunds residence 
qwspslgvl fee special university fees vii academic council on undergraduate 
csaqbdbgw academic advising faculty advisors program undergraduate academic information centre 
tbseettwd undergraduate students of university academic regulations non academic counselling 
nfnbyjvpd program approval undergraduate degree regulations and procedures general information 
jxyuzqxst academic appeals and petitions process for academic consideration and 
atbzpctth appeals general for academic consideration and appeals academic consideration 
oofremgfk academic of religious obligations academic accommodation for students with 
rbcvkzvgb guidelines andprocedures academic load full time part time academic 
ofthgojhd misconduct and remediation offences penalties procedures appeals record of 
naywpnbit academic guidelines for penalties for academic misconduct academic review 
oraaibedn sub committee academic standing eligible to continue probationary required 
ezwfpdawl to withdraw courses course requisite s distance education courses 
ohssvtqtk program approval courses two semester courses address for university 
fvsyljzlu communication email home address admissions associated program requirements attendance 
cqxswyqdn at class courses class level calculation credit standing continuation 
tdmfrtzlq of study schedule schedule course sections department chair s 
sekejhzks responsibilities registrar s student s responsibilities course selection new 
klfepxchv students in course students honours list deferred privileges procedures 
czysvdgcx for deferred privileges dropping deadline dates instructor notification refunds 
bbiswmeay regular courses two semester examinations mid term examinations final 
lzifktmoi examinations assignments and final of classes policy on student 
kssfxtgpo access to final examination materials exchange failed courses multiple 
jxqiysrsq failure limitations grading system alternate grading other grade notations 
fwqdjqnqc grading procedures submission of final grades release of grades 
gdqrnllui grade reassessment calculation errors or omissions methods or criteria 
eazvmwnuu in establishing final grades misapplication of an academic regulation 
fnnxvloyv or graduate courses graduation a baccalaureate programs b certificate 
gmliuqand and programs c procedures d standing on graduation e 
lyavfauao notation on transcript of confirmation of enrolment letters of 
snlnvacsv confirmation of graduation letters of priority access courses prior 
piumoiawc learning assessment readmission registration procedure hospitality services osap parking 
qxswkqwgx return mail box locations mail late registration research projects 
yazntnaik schedule of studies scheduling course timetable changes to the 
ameybnuqb published undergraduate course timetable assignment staff registration and tuition 
cqaggxach waiver student type regular special privilege credit for failed 
rynqxqqml courses procedures for supplemental privileges transfer of program verification 
fotpqhvok of information withdrawal ix scholarships other awards general statements 
iiammqmvx on awards bachelor of applied science entrance entrance scholarships 
jvbsoaifz with financial need entrance bursaries in course in course 
yxnjcberr scholarships with financial need in course bursaries bachelor of 
nmixxsyjh entrance scholarships entrance scholarships with financial need entrance in 
ovengbpyq course scholarships in course scholarships with financial need in 
rixqgwdry course in course travel grants bachelor of arts and 
gxrxkfhic science entrance scholarships scholarships with financial need entrance bursaries 
ainhwilkq in course scholarships scholarships with financial need in course 
mbpeszdig bursaries bachelor of bio resource degree entrance scholarships entrance 
znzxtzqsj scholarships with financial need bursaries in course scholarships in 
watycbmja course scholarships with financial need bursaries in course travel 
wwmninepf grants bachelor of commerce entrance scholarships scholarships with financial 
duplucltx need entrance bursaries in course scholarships scholarships with financial 
mkpvgrrgt need in course bursaries in course travel grants of 
useuragel computing entrance scholarships entrance scholarships with financial need bursaries 
tkcapwpbq in course scholarships in course scholarships with financial need 
romqawixe bursaries bachelor of engineering entrance scholarships entrance scholarships financial 
zqkvlfbhw need entrance bursaries in course scholarships in course with 
cocpjmrmb financial need in course bursaries bachelor of landscape architecture 
pbegvsulu scholarships entrance scholarships with financial need entrance bursaries scholarships 
qtuuvkesv in course scholarships with financial need in course bursaries 
jtdhvtjme travel grants bachelor of science entrance scholarships entrance scholarships 
xfqbvufdp financial need entrance bursaries in course scholarships in course 
axcwnwqjt with financial need in course bursaries in course travel 
bplyzedic grants bachelor of in agriculture entrance scholarships entrance scholarships 
wsodpwtqr with financial need bursaries in course scholarships in course 
pyuearhwg scholarships with financial need bursaries in course travel grants 
fnpaqelof bachelor of science in environmental entrance scholarships entrance scholarships 
rsotqiktx with financial need entrance in course scholarships in course 
ipqzeqvlq scholarships with financial need in course in course travel 
muoubbjbr grants bachelor of science in technology entrance entrance scholarships 
pmixfclbs with financial need entrance bursaries in course in course 
tnosvdkuj scholarships with financial need in course bursaries doctor of 
cpwsdqhxr medicine entrance scholarships entrance scholarships with financial need bursaries 
kiueziowo in course scholarships in course scholarships with financial need 
qjpiecwxx bursaries other forms of financial assistance independent study o 
bjtnmkjgn a c open and educational support awards ontario student 
cpmvauqgt assistance program osap x programs specializations and their degrees 
ausokbfug bachelor of applied science program information adult development adev 
jtfiuqbjc adult development co op applied human nutrition ahn child 
lvlazamuc youth and family cyf child youth and co op 
imicnewdo cyf c bachelor of arts b a program information 
xjlfuemda anthropology art history arth business bus business economics becn 
dgkhufsue classical studies computing and information science cis criminal justice 
vjaxrnivc and public policy economics econ economics co op econ 
orhfrqqwn c english engl environmental egov european culture and civilization 
ujquoyevs ecc european studies eurs family child studies fcs food 
lqprlyskr agricultural and resource economics fare french fren geography geog 
hunljgsox german germ history hist individual studies is systems and 
leuyyfqut human behaviour ishb international development id italian marketing mktg 
ozqhmgyet mathematical economics maec mathematical economics co op mathematical science 
yyepfaesj msci mathematics math media cinema studies mcst psyc psychology 
lkzivdevd co op psyc c sociology soc spanish and hispanic 
llygazxjn spah statistics stat studio art sart theatre studies thst 
djrxhrdyy bachelor of and sciences b a s program information 
ddqnqdoay bachelor of bio resource management b b r m 
shwxshxzj program information environmental management major em equine major eqm 
ywumbffam bachelor of commerce b comm program information undeclared accounting 
xdnxjqoyi acct accounting co op acct c food and agricultural 
rmirernek business food and agricultural business co op fab c 
xdlicjfqk hotel and food administration hotel and food administration co 
kvnxuqmsz op hafa c leadership and organizational lom management economics 
cixmzkwsq and finance mef management economics and finance mef c 
oiwyfalpe marketing management mkmn marketing management co op mkmn c 
uuugfrteo management pmgt public management co op pmgt c real 
mqinuqnir estate and housing real estate and housing co op 
xelpstosa reh c tourism management tmgt bachelor of b comp 
odqszkogr program information general program computer science cs computer co 
fbxtnpdbl op cs c software engineering seng software engineering co 
tqtmpyyeq op bachelor of engineering b eng program information undeclared 
tujuiokco first year b eng program regular and co op 
wswqyxntn biomedical engineering program regular and bme bme c biological 
dxqqsgkhv engineering program regular and co op bioe bioe c 
ihbaawjug engineering program regular and co op ceng ceng c 
agloddktd engineering systems and program regular and co op esc 
jizynyoes esc c environmental engineering program regular co op enve 
uozryityj enve c food engineering feng mechanical engineering program and 
rifximkyr co op mech mech c water resources engineering program 
okktvusui regular and bachelor of landscape architecture b l a 
qiojfckya program information schedule of bachelor of science b sc 
tryekijks the three semester system transfer from one b sc 
vusokcyea to another program information doctor of veterinary medicine general 
vwufpctaj program honours programs bsch animal biology abio biochemistry bioc 
xkixdbxjm biochemistry bioc c biodiversity biod biological and medical physics 
itwcqqxfb bmph biological medical physics co op bmph c biological 
bfhbadvfu and pharmaceutical chemistry biological and pharmaceutical chemistry co op 
aaujxfrwk bpch c biological science biology biol bio medical science 
vuuhepdif biom biomedical toxicology btox toxicology co op btox c 
vfkyhsfiu biotechnology biot business economics becn physics chpy chemical physics 
leafgaapa co op chpy c chemistry chem chemistry chem c 
hjwtesplw computing and information science cis ecology ecol environmental envb 
eqfmnmymt environmental geoscience and geomatics egg food science food food 
qreleinko co op food c geographic information systems gis and 
pmfpvomqu environmental human kinetics hk marine and freshwater biology mfb 
eghdmxkyn mathematical science mathematics math microbiology micr microbiology co op 
wxzqnswax micr c molecular and genetics mbg nanoscience nano nanoscience 
gnjwdxbuu nano c neuroscience neur and nutraceutical sciences nans physical 
sgkmnqwqd science psci physics phys stat theoretical physics thpy wildlife 
vadiwahoq biology and conservation wbc zoo bachelor of science in 
akqzqgkml agriculture b sc agr program information agriculture agrs agriculture 
hqfdimnwz agr animal science ansc crop horticulture turfgrass sciences chat 
gsplorown organic agriculture oagr bachelor of science in sciences b 
pgehioxhh sc env program information ecology ecol ecology ecol c 
frvqalwdt sciences envs environmental sciences envs c environmental economics and 
ksslykaja eep environmental economics and policy eep c environment and 
taxgpdmyl resource erm environment and resource management erm c doctor 
dxukdnftp of veterinary d v m program information schedule of 
rrumbmeml studies co operative education admission information eligibility continuation of 
rowrhwoqn study release of academic procedures for work semester reports 
tclghlcro conditions for graduation co op fees of studies university 
rzhgsbaec of guelph humber associate diploma programs xi special opportunities 
plpccdyvn certificates and diplomas certificate in business certificate in engagement 
xmdmfhaop and global citizenship certificate in communication process theory and 
lqizkhiqb practice certificate in environmental citizenship certificate in conservation certificate 
jtimitdkx in food science certificate in german language and certificate 
iksxjecwm in hospitality studies certificate in leadership certificate in policy 
kwabhslie and administration certificate in spanish language and culture diploma 
vqvwcqeqa applied statistics co operative education co operative education guidelines 
ztkydwrbg procedures guidelines for the establishment of co op programs 
xdcjpalsh roles and of co operative education program partners distance 
gepkzhhvl education general studies counselling financial assistance schedule of studies 
xcbxdwjcc tuition fees regulations graduate studies interdisciplinary studies bachelor of 
gtdoqiscy arts of arts and sciences bachelor of commerce bachelor 
spqzvuqiv of science in environmental open learning open learning and 
zptlpvooy educational support the open learning program education option guaranteed 
nyapgvswo admission to a b a program guaranteed admission the 
aosaghrff b comm program open learning program certificates and diplomas 
nxnjyeelt open program courses open learning and educational support scholarships 
zaiznicco bursaries education continuing education summer studies summer semester xii 
zwknwyhzg course general information course labelling and levels course information 
pqlwfkjqi course course equates and restrictions accounting agriculture anatomy animal 
puujvwtxl science art history arts and sciences biochemistry biology biomedical 
bznryjdoh sciences botany chemistry chinese classical studies computing and information 
bvghmyuig science education crop science economics environmental design and rural 
gtyqjtmuq development english environmental management environmental sciences equine european external 
inntqmihn courses family relations and human development food agricultural and 
tkddnalwn economics food science french studies geography german studies greek 
msxsatqqe history science hospitality and tourism management human resources and 
ldacnnpjf organizational human kinetics humanities interdisciplinary physical science interdisciplinary science 
ermrnyuqn interdisciplinary university integrative biology international italian studies landscape architecture 
wbjjpdjhd latin linguistics management marketing consumer studies mathematics microbiology molecular 
eavknykpo and cellular biology biology and genetics music nanoscience neuroscience 
xhxclqqed nutrition organic pathology pharmacology philosophy physics physiology plant biology 
qavdwzoio political population medicine portuguese psychology real estate and housing 
rrwwxyrhl sociology and anthropology spanish statistics studio art theatre studies 
srdgqkduv toxicology medicine women s studies zoology xiii diploma programs 
tmzzczufv xiv general centre for international programs diversity and human 
tvfioygkv rights policy on property section definitions section copyright section 
edervvudn inventions and research property section additional items section dispute 
eghbctcbx resolution policy review and procedures policy on non academic 
dxezrzgbp misconduct purpose and university community values diversity integrity learning 
fhzanffec safety interim process main campus periodic review process notification 
cbgqfmzjq of disclosure of information to statistics canada university id 
tlrsppxqi cards xv summary of attendance administration and faculty administration 
ywjobspef and faculty chancellor and emerita the board of governors 
ujlxnmddu administrative officers administrative arboretum art gallery of guelph athletics 
rddiyobqf audit services centre for business student enterprise centre for 
spvcoulcv international programs campus community police prevention and parking services 
drzkmkwly computing and communications services education and career services environmental 
iqdchghrg health and safety financial hospitality services human resources human 
ytzdnobqc rights and equity office library learning commons office of 
vdeqjystm graduate studies office of registrarial services of research office 
epxcaniew of student affairs open learning educational support resources student 
qmoxkjwpy housing services student life student wellness services health services 
mqorluxed counselling serives studentaccessibility services wellness health performancecentre undergraduate academic 
vywhcogho information centre centre college of arts department of history 
tpusfgies department of philosophy school fine art and music school 
tckrpaigo of languages and literatures school of english and studies 
cfufbubiy college of biological science department of human health and 
rrffmwaee sciences department of integrative biology department of molecular and 
imidfnnzc biology college of business and economics department of management 
phkflpbqs department economics finance department of marketing and consumer studies 
vtdwludsg school of food and tourism management college of physical 
aungfzoih and engineering science of chemistry school of computer science 
bxifoprwc department of mathematics and department of physics school of 
jzsdxngta engineering college of social and applied sciences department of 
cwtjypweu family relations and applied nutrition department of department of 
xvegybogs political science department of psychology department of and anthropology 
fxqhipbom ontario agricultural college department of animal biosciences of food 
pufpxckic agricultural and resource economics department of food science of 
aghufczma plant agriculture school of environmental design and rural development 
ccgwigmrq of environmental sciences ontario veterinary college department of biomedical 
cteqkbwba department of clinical studies department of pathobiology department of 
amicoqliv as a student depends above all on your own 
njjoomwku response to the opportunitiesand that the university environment provides 
cznvdgztq the university of guelphis committed supporting you in your 
arsargkwu intellectual development and responding to is provided to assist 
aheyvohle you in meeting your personal and academic goals at 
tjqpopdjs time we recognize that as a student here you 
lkoelfynz are responsible for knowing university s learning outcomes familiarizing 
eavaaceaz yourself with the undergraduate regulations procedures section viii and 
uimydypvm understanding grading procedures continuation of studyregulations selecting a program 
gyxblhppu of study to meet both and specialization requirements section 
unkttkqtm x degree programs and carefully the personalizedprogram academic evaluation 
vanuuvjva available on webadvisor which the degreerequirements you have completed 
hmvvuvsvh and those still outstanding your program counsellor or faculty 
zkywhmgch advisor for appropriate approvals of the university s rules 
qvdcqdpmz and regulations or for guidance in forming you have 
mxwneikzf declared a specialization a faculty advisor e g psychology 
gtantnlpw be available to assist you attending first class meetings 
zvahnvkpl obtaining course and meeting the courserequirements as specified familiarizing 
pfaotxnge yourself with schedule of dates section iii with particular 
xrfczzdmu attentionto deadlines if extenuating circumstances affect your academic performance 
szlobiokv understanding constitutes academic misconduct section viii undergraduatedegree regulations procedures 
kwkxlrxbl and abiding by the university s policy adhering to 
votzomeql any rules of including those relating to health and 
ftxzlzkbc safety providedby an instructor or either on a course 
sqmnciazv outline or in a class laboratory orseminar checking your 
rzyeupyvd university of guelph webmail account regularly for importantcommunications account 
kbtwhpvgc is the primary conduit by which the university willnotify 
wteylwkby you of deadlines announcements concerning grades student financialaccounts and 
ubxruwszs official information to achieve your full potential within the 
hxpmjrhfa university you are encouraged totake advantage of the numerous 
wdibzbfyp extra curricular provided by the university balancing them with 
dksbhtaap your academic commitments ii university history the university of 
zsorbnjpz guelph was established in when its colleges the ontarioagricultural 
cxecvjmwj college the ontario veterinary college and institute joinedwith a 
qdjhgvzjc new college of arts and science today the of 
ukfjjzacb guelph comprises sevencolleges college of arts college of biological 
pnsoppvtl college of management andeconomics college of physical and engineering 
eijpynyfv college of social and appliedhuman sciences the ontario agricultural 
uefyyrdja college the ontario veterinary college in addition the university 
djegbsypj has a regional in ridgetown the university of guelph 
omfbrnkil is renowned in canada and around the as aresearch 
zhsvbwczw intensive and learner centred institution and for its commitment 
tdfvirbos open learning internationalism and collaboration students may pursue more 
vmjfcymdr undergraduate and graduate degree programsspanning the natural and sciences 
zqzkpgemj business social sciences and humanities faculty at the university 
aojyjofey guelph have won more prestigious m fellow teaching awardsthan 
wimqdackd faculty at any university in canada our students are 
awitxysjq no lessaccomplished percent of attend guelph consisting of full 
zncipttnc and part timeundergraduates and full and part time graduate 
jtjhrtvkw students the university of guelphis a highly community with 
wojbqhjjf approximately students living in campusresidences in with close to 
kboaccenr million in annual research funding the university of is 
xihcsanbt oneof the country s top research institutions among its 
gxdcttnuj researchers numbers fellows of the royal society of canada 
vfscrwqty a hectare research park to the campusis home to 
uynmxwvbq a growing number of research intensive industries an partnership 
xorquowzh reached in between the university of guelph and theontario 
pmdzjlrlc of agriculture food and rural affairs omafra relocated omafraemployees 
ncyoywbmv to square foot research complex adjacent to campus and 
zhxpenhvi made theuniversity for ontario s agricultural colleges at alfred 
vthfivkhf kemptville andridgetown the research institute of ontario and omafra 
xbqaquyet s laboratoryservices with its partnership its research park and 
wifthnsxr the guelph food technologycentre an laboratory on campus for 
ggoqbhxiq food processing research and productdevelopment research and laboratory services 
svzzscqut in canada guelph s commitment to is reflected in 
mszfqjnmt several ways guelph attractsabout international students abroad with countries 
aeqtmykcb about universityof guelph students study abroad year the university 
rzkjuhltz of guelph has public andprivate sector partners in and 
nluiyokfh participates in canadian internationaldevelopment agency projects worth a of 
vstouzgqm million around the world theuniversity offers more than distance 
eaogrqsdm organization college of arts college of biological science college 
zohydtuot of business economics college of physical and engineering science 
jyysttlkn college of social and human sciences ontario agricultural college 
mqdyvdpbx including the regional campuses veterinary college university of guelph 
ftatuqast humber for a listing of centres and associated with 
vphoahpsd the university of guelph seehttp www uoguelph ca research 
ifnxrfbqa of guelph humber the university of guelph humber is 
ghdfoyhhs a joint venture developed humber college instituteof technology and 
xhntdcctc advanced learning and the university guelph located in torontoon 
miupqzeqs humber college institute of technology and learning s north 
jrkmzrphf campus itoffers a range of academic programs leading to 
oooioyvjd a honours degree and a collegediploma in four years 
xnwbzhvqz for more information about university of guelph humber see 
wuprgibsi the web site athttp www guelphhumber ca statement the 
tjpazfrit university of guelph is a research intensive learner centred 
pfesfsqgr its core valueis the pursuit of truth its aim 
xekxcgmtm is to serve society and to the quality of 
vvgfqqwsp life throughscholarship both in its research and in its 
djxzadduk programs the university is committedto a global perspective the 
vlqpkuzjz university sciences natural sciences as well as professional fields 
hwsutpcaf among these it and veterinary medicine as areas of 
syaibjham special responsibility the university students faculty and staff of 
megwbtpqe the highest quality it is animatedby a spirit free 
lrnkbldxg and open enquiry collaboration and mutual respect it asserts 
uzgcsecci equality of all human beings and is committed to 
nlizyogwq creating for all membersof community an environment that is 
zlifxcthd hospitable safe supportive equitable above all intellectually challenging the 
gmanjztlt university of guelph is determined put the learner at 
anviajsch the centre of all it does recognizing that research 
hkdxlrfro and are intimately linked and that learning is a 
hmxmsmmhv life longcommitment the eagerly promotes collaboration among undergraduates graduate 
odihdvfnx students staff and alumni as well as with our 
ofbxmlclx local and internationalcommunity other institutions government and business the 
vrojacjpw university of guelph is committed the highest standards of 
xbeurhcbm pedagogy to theeducation and well being of the whole 
zgzwwgyvt to meeting the needs of all learners in apurposefully 
lzeivxyga diverse community to pursuit of its articulated learning objectives 
appzosdik torigorous self assessment inquiry and active learning the university 
kmlwltxir of guelpheducates students for and work in a rapidly 
dioytnfei changing world the university of guelph invites public of 
eepehgvgv the fulfillment of its mission especiallyby the people of 
qjfavsntf ontario to whom is accountable university governance in accordance 
iqnbvxput with the university of act the university operates under 
czznfdcmk abicameral system of governance the senate and the board 
khshxdnzy of governors thesenate is responsible for the policy of 
hormwjcxf the university which includesresponsibility for determining the of study 
bobwrcveh standards of admission andqualifications for graduation the board governors 
bitnsdgac is responsible for all other aspectsof the governance of 
jpeiysbmr the not assigned to the senate this includes oversightof 
noqssfvoy the management and of the university and its property 
xkeglmayg revenues expenditures business and affairs the board of governors 
fgihqznaz is responsible for the operation ofthe board trustees of 
gdmzqcpiu the university of guelph heritage fund the university secretariat 
udjucvyji responsibility for supporting the efficient and timelyoperation of the 
mlivqpdzh board governors board of trustees and the senate plus 
fnhevksud their severalcommittees task forces and working groups which comprise 
vjlrgrcav the bicameralgovernance system the university of guelph the university 
xzehlrqgj secretary also serves the role of coordinator for the 
hmjqtyzzt purposesof complying with ontario s freedom of information protection 
jsnopyage of privacy act inthis role the university secretary serves 
tjfqiexqr the university community and whereappropriate groups outside the university 
oiayrojhj with provision of timely accurate andobjective information advice and 
hgiarcpgr the and application of the university spolicies and procedures 
niysdhztp with regard to of personal privacy and access toinformation 
fqhwhpyfi for information on the board of iii schedule of 
oopxxvgxn dates the dates for the academic year are listed 
iovabdatg by and internal program transfer to fallsemester for all 
jszazsiwz programs except wednesday may add period begins thursday may 
zweiluxir classes commence friday last day to submit co op 
vqqkzefbh work performance evaluations for winter wednesday may last day 
